pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
133.604,-128.27,0,top,C1,CL10A226MQ8NRNC,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,22uF,smt
155.956,-121.92,0,top,C10,0603B222K500NT,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2.2nF,smt
153.162,-127.1535,-90,top,C11,CC0603FRNPO9BN120,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,12pF,smt
155.956,-123.698,0,top,C12,0603CG4R7C500NT,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7pF,smt
157.6175,-118.1405,0,top,C13,HH18N1R5B500CT,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1.5pF,smt
160.4115,-117.348,90,top,C14,HH18N1R0B500CT,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1pF,smt
113.792,-125.67975,90,top,C15,CL10A226MQ8NRNC,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,22uF,smt
110.236,-123.952,90,top,C16,CL10A226MQ8NRNC,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,22uF,smt
115.824,-112.776,90,top,C17,CL10A226MQ8NRNC,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,22uF,smt
112.776,-111.9,0,top,C18,CL10A226MQ8NRNC,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,22uF,smt
144.272,-125.222,0,top,C19,CL10A226MQ8NRNC,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,22uF,smt
126.746,-120.396,-90,top,C2,CL10A226MQ8NRNC,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,22uF,smt
144.272,-127,0,top,C20,CL10A226MQ8NRNC,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,22uF,smt
126.746,-109.22,-90,top,C21,CL10A226MQ8NRNC,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,22uF,smt
